Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Contacts_Users,Firefox 58.0,,2018-03-06 11:54:53,2018-03-06 11:55:04,"10,606s",PASSED
,,,,,,
Test Cases/Basic Login,Firefox 58.0,,2018-03-06 11:54:54,2018-03-06 11:54:58,"4,220s",PASSED
openBrowser,Firefox 58.0,,2018-03-06 11:54:54,2018-03-06 11:54:57,"2,853s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-06 11:54:57,2018-03-06 11:54:57,"0,169s",PASSED
setText,Firefox 58.0,,2018-03-06 11:54:57,2018-03-06 11:54:57,"0,162s",PASSED
setText,Firefox 58.0,,2018-03-06 11:54:57,2018-03-06 11:54:57,"0,148s",PASSED
click,Firefox 58.0,,2018-03-06 11:54:57,2018-03-06 11:54:58,"0,629s",PASSED
waitForPageLoad,Firefox 58.0,,2018-03-06 11:54:58,2018-03-06 11:54:58,"0,035s",PASSED
,,,,,,
Test Cases/Non admin contact creation,Firefox 58.0,,2018-03-06 11:54:58,2018-03-06 11:55:02,"4,291s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-06 11:54:58,2018-03-06 11:54:59,"0,433s",PASSED
click,Firefox 58.0,,2018-03-06 11:54:59,2018-03-06 11:54:59,"0,221s",PASSED
click,Firefox 58.0,,2018-03-06 11:54:59,2018-03-06 11:55:00,"0,925s",PASSED
click,Firefox 58.0,,2018-03-06 11:55:00,2018-03-06 11:55:00,"0,721s",PASSED
setText,Firefox 58.0,,2018-03-06 11:55:00,2018-03-06 11:55:00,"0,071s",PASSED
setText,Firefox 58.0,,2018-03-06 11:55:00,2018-03-06 11:55:01,"0,029s",PASSED
setText,Firefox 58.0,,2018-03-06 11:55:01,2018-03-06 11:55:01,"0,033s",PASSED
click,Firefox 58.0,,2018-03-06 11:55:01,2018-03-06 11:55:01,"0,034s",PASSED
click,Firefox 58.0,,2018-03-06 11:55:01,2018-03-06 11:55:01,"0,261s",PASSED
click,Firefox 58.0,,2018-03-06 11:55:01,2018-03-06 11:55:02,"1,436s",PASSED
,,,,,,
Test Cases/Contact Edit,Firefox 58.0,,2018-03-06 11:55:02,2018-03-06 11:55:04,"1,751s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-06 11:55:02,2018-03-06 11:55:03,"0,265s",PASSED
click,Firefox 58.0,,2018-03-06 11:55:03,2018-03-06 11:55:03,"0,525s",PASSED
click,Firefox 58.0,,2018-03-06 11:55:03,2018-03-06 11:55:03,"0,240s",PASSED
setText,Firefox 58.0,,2018-03-06 11:55:03,2018-03-06 11:55:03,"0,026s",PASSED
setText,Firefox 58.0,,2018-03-06 11:55:03,2018-03-06 11:55:03,"0,032s",PASSED
setText,Firefox 58.0,,2018-03-06 11:55:03,2018-03-06 11:55:03,"0,047s",PASSED
click,Firefox 58.0,,2018-03-06 11:55:03,2018-03-06 11:55:04,"0,356s",PASSED
closeBrowser,Firefox 58.0,,2018-03-06 11:55:04,2018-03-06 11:55:04,"0,163s",PASSED
